date,area,district,mail_type,pct_on_time
2020-01-04,Nation,NA,first_class,91.76
2020-01-04,Nation,NA,marketing,91.21
2020-01-04,Nation,NA,periodical,85.7
2020-01-11,Nation,NA,first_class,91.36
2020-01-11,Nation,NA,marketing,88.61
2020-01-11,Nation,NA,periodical,85.87
2020-01-18,Nation,NA,first_class,93.01
2020-01-18,Nation,NA,marketing,89.86
2020-01-18,Nation,NA,periodical,87.71
2020-01-25,Nation,NA,first_class,91.15
2020-01-25,Nation,NA,marketing,91.45
2020-01-25,Nation,NA,periodical,87.49
2020-02-01,Nation,NA,first_class,90.71
2020-02-01,Nation,NA,marketing,90.57
2020-02-01,Nation,NA,periodical,87.54
2020-02-08,Nation,NA,first_class,91.98
2020-02-08,Nation,NA,marketing,91.8
2020-02-08,Nation,NA,periodical,88.57
2020-02-15,Nation,NA,first_class,93.88
2020-02-15,Nation,NA,marketing,92.24
2020-02-15,Nation,NA,periodical,89.4
2020-02-22,Nation,NA,first_class,92.84
2020-02-22,Nation,NA,marketing,93.29
2020-02-22,Nation,NA,periodical,87.38
2020-02-29,Nation,NA,first_class,93.16
2020-02-29,Nation,NA,marketing,92.41
2020-02-29,Nation,NA,periodical,86.54
2020-03-07,Nation,NA,first_class,92.4
2020-03-07,Nation,NA,marketing,92.21
2020-03-07,Nation,NA,periodical,86.77
2020-03-14,Nation,NA,first_class,92.11
2020-03-14,Nation,NA,marketing,91.32
2020-03-14,Nation,NA,periodical,86.08
2020-03-21,Nation,NA,first_class,92.84
2020-03-21,Nation,NA,marketing,92.48
2020-03-21,Nation,NA,periodical,85.57
2020-03-28,Nation,NA,first_class,92.54
2020-03-28,Nation,NA,marketing,93.69
2020-03-28,Nation,NA,periodical,85.09
2020-04-01,Nation,NA,first_class,92.82
2020-04-01,Nation,NA,marketing,90.08
2020-04-01,Nation,NA,periodical,85.68
2020-04-04,Nation,NA,first_class,91.55
2020-04-04,Nation,NA,marketing,90.54
2020-04-04,Nation,NA,periodical,83.16
2020-04-11,Nation,NA,first_class,89.62
2020-04-11,Nation,NA,marketing,89.39
2020-04-11,Nation,NA,periodical,77.21
2020-04-18,Nation,NA,first_class,91.24
2020-04-18,Nation,NA,marketing,89.1
2020-04-18,Nation,NA,periodical,78.86
2020-04-25,Nation,NA,first_class,90.28
2020-04-25,Nation,NA,marketing,87.83
2020-04-25,Nation,NA,periodical,74.97
2020-05-02,Nation,NA,first_class,89.99
2020-05-02,Nation,NA,marketing,86.81
2020-05-02,Nation,NA,periodical,73.76
2020-05-09,Nation,NA,first_class,89.52
2020-05-09,Nation,NA,marketing,87.39
2020-05-09,Nation,NA,periodical,68.94
2020-05-16,Nation,NA,first_class,91.19
2020-05-16,Nation,NA,marketing,89.52
2020-05-16,Nation,NA,periodical,71.72
2020-05-23,Nation,NA,first_class,92.3
2020-05-23,Nation,NA,marketing,89.52
2020-05-23,Nation,NA,periodical,76.49
2020-05-30,Nation,NA,first_class,90.39
2020-05-30,Nation,NA,marketing,91.07
2020-05-30,Nation,NA,periodical,78.77
2020-06-06,Nation,NA,first_class,90.69
2020-06-06,Nation,NA,marketing,89.7
2020-06-06,Nation,NA,periodical,76.53
2020-06-13,Nation,NA,first_class,91.74
2020-06-13,Nation,NA,marketing,90.84
2020-06-13,Nation,NA,periodical,78.71
2020-06-20,Nation,NA,first_class,90.86
2020-06-20,Nation,NA,marketing,90.69
2020-06-20,Nation,NA,periodical,79.1
2020-06-27,Nation,NA,first_class,90.7
2020-06-27,Nation,NA,marketing,92.34
2020-06-27,Nation,NA,periodical,81
2020-07-01,Nation,NA,first_class,91.82
2020-07-01,Nation,NA,marketing,89.87
2020-07-01,Nation,NA,periodical,81.04
2020-07-04,Nation,NA,first_class,90.56
2020-07-04,Nation,NA,marketing,87.55
2020-07-04,Nation,NA,periodical,77.13
2020-07-11,Nation,NA,first_class,85.26
2020-07-11,Nation,NA,marketing,82.94
2020-07-11,Nation,NA,periodical,73.16
2020-07-18,Nation,NA,first_class,82.22
2020-07-18,Nation,NA,marketing,79.76
2020-07-18,Nation,NA,periodical,71.62
2020-07-25,Nation,NA,first_class,83.64
2020-07-25,Nation,NA,marketing,82.19
2020-07-25,Nation,NA,periodical,69.47
2020-08-01,Nation,NA,first_class,82.82
2020-08-01,Nation,NA,marketing,81.58
2020-08-01,Nation,NA,periodical,68.95
2020-08-08,Nation,NA,first_class,81.47
2020-08-08,Nation,NA,marketing,82.27
2020-08-08,Nation,NA,periodical,69.04
2020-08-15,Nation,NA,first_class,85.19
2020-08-15,Nation,NA,marketing,86.28
2020-08-15,Nation,NA,periodical,73.15
2020-08-22,Nation,NA,first_class,87.76
2020-08-22,Nation,NA,marketing,89.54
2020-08-22,Nation,NA,periodical,75.57
2020-08-29,Nation,NA,first_class,88.04
2020-08-29,Nation,NA,marketing,89.56
2020-08-29,Nation,NA,periodical,78.24
2020-01-04,Capital Metro,NA,first_class,90.91
2020-01-04,Capital Metro,NA,marketing,87.74
2020-01-04,Capital Metro,NA,periodical,84.43
2020-01-11,Capital Metro,NA,first_class,90.38
2020-01-11,Capital Metro,NA,marketing,82.03
2020-01-11,Capital Metro,NA,periodical,83.34
2020-01-18,Capital Metro,NA,first_class,92.12
2020-01-18,Capital Metro,NA,marketing,85.94
2020-01-18,Capital Metro,NA,periodical,87.35
2020-01-25,Capital Metro,NA,first_class,90.55
2020-01-25,Capital Metro,NA,marketing,88.62
2020-01-25,Capital Metro,NA,periodical,86.04
2020-02-01,Capital Metro,NA,first_class,90.22
2020-02-01,Capital Metro,NA,marketing,88.11
2020-02-01,Capital Metro,NA,periodical,85.11
2020-02-08,Capital Metro,NA,first_class,91.78
2020-02-08,Capital Metro,NA,marketing,89.28
2020-02-08,Capital Metro,NA,periodical,87.92
2020-02-15,Capital Metro,NA,first_class,93.58
2020-02-15,Capital Metro,NA,marketing,89.84
2020-02-15,Capital Metro,NA,periodical,89.34
2020-02-22,Capital Metro,NA,first_class,92.29
2020-02-22,Capital Metro,NA,marketing,90.98
2020-02-22,Capital Metro,NA,periodical,85.68
2020-02-29,Capital Metro,NA,first_class,92.88
2020-02-29,Capital Metro,NA,marketing,84.7
2020-02-29,Capital Metro,NA,periodical,84.43
2020-03-07,Capital Metro,NA,first_class,92.15
2020-03-07,Capital Metro,NA,marketing,89.99
2020-03-07,Capital Metro,NA,periodical,85.58
2020-03-14,Capital Metro,NA,first_class,92.86
2020-03-14,Capital Metro,NA,marketing,89.83
2020-03-14,Capital Metro,NA,periodical,85.48
2020-03-21,Capital Metro,NA,first_class,93.44
2020-03-21,Capital Metro,NA,marketing,91.39
2020-03-21,Capital Metro,NA,periodical,86.61
2020-03-28,Capital Metro,NA,first_class,93.23
2020-03-28,Capital Metro,NA,marketing,93.33
2020-03-28,Capital Metro,NA,periodical,86.46
2020-04-01,Capital Metro,NA,first_class,94.2
2020-04-01,Capital Metro,NA,marketing,90.41
2020-04-01,Capital Metro,NA,periodical,86.53
2020-04-04,Capital Metro,NA,first_class,92.99
2020-04-04,Capital Metro,NA,marketing,92.27
2020-04-04,Capital Metro,NA,periodical,87.31
2020-04-11,Capital Metro,NA,first_class,91.65
2020-04-11,Capital Metro,NA,marketing,91.72
2020-04-11,Capital Metro,NA,periodical,81.63
2020-04-18,Capital Metro,NA,first_class,92.87
2020-04-18,Capital Metro,NA,marketing,92.67
2020-04-18,Capital Metro,NA,periodical,84.91
2020-04-25,Capital Metro,NA,first_class,92.04
2020-04-25,Capital Metro,NA,marketing,90.92
2020-04-25,Capital Metro,NA,periodical,78.95
2020-05-02,Capital Metro,NA,first_class,91.08
2020-05-02,Capital Metro,NA,marketing,88.45
2020-05-02,Capital Metro,NA,periodical,77.63
2020-05-09,Capital Metro,NA,first_class,89.71
2020-05-09,Capital Metro,NA,marketing,86.44
2020-05-09,Capital Metro,NA,periodical,68.43
2020-05-16,Capital Metro,NA,first_class,91.38
2020-05-16,Capital Metro,NA,marketing,85.77
2020-05-16,Capital Metro,NA,periodical,71.09
2020-05-23,Capital Metro,NA,first_class,92.45
2020-05-23,Capital Metro,NA,marketing,88.5
2020-05-23,Capital Metro,NA,periodical,78.75
2020-05-30,Capital Metro,NA,first_class,89.55
2020-05-30,Capital Metro,NA,marketing,88.82
2020-05-30,Capital Metro,NA,periodical,77.07
2020-06-06,Capital Metro,NA,first_class,90.07
2020-06-06,Capital Metro,NA,marketing,85.87
2020-06-06,Capital Metro,NA,periodical,77.74
2020-06-13,Capital Metro,NA,first_class,90.86
2020-06-13,Capital Metro,NA,marketing,88.67
2020-06-13,Capital Metro,NA,periodical,78.93
2020-06-20,Capital Metro,NA,first_class,90.76
2020-06-20,Capital Metro,NA,marketing,89.32
2020-06-20,Capital Metro,NA,periodical,81.19
2020-06-27,Capital Metro,NA,first_class,91.15
2020-06-27,Capital Metro,NA,marketing,92.77
2020-06-27,Capital Metro,NA,periodical,81.11
2020-07-01,Capital Metro,NA,first_class,92
2020-07-01,Capital Metro,NA,marketing,88.45
2020-07-01,Capital Metro,NA,periodical,80.37
2020-07-04,Capital Metro,NA,first_class,90.81
2020-07-04,Capital Metro,NA,marketing,86.74
2020-07-04,Capital Metro,NA,periodical,72.63
2020-07-11,Capital Metro,NA,first_class,87.12
2020-07-11,Capital Metro,NA,marketing,81.71
2020-07-11,Capital Metro,NA,periodical,68.58
2020-07-18,Capital Metro,NA,first_class,83.65
2020-07-18,Capital Metro,NA,marketing,78.91
2020-07-18,Capital Metro,NA,periodical,66.25
2020-07-25,Capital Metro,NA,first_class,84.31
2020-07-25,Capital Metro,NA,marketing,79.65
2020-07-25,Capital Metro,NA,periodical,65.58
2020-08-01,Capital Metro,NA,first_class,83.36
2020-08-01,Capital Metro,NA,marketing,80.5
2020-08-01,Capital Metro,NA,periodical,70.06
2020-08-08,Capital Metro,NA,first_class,80.63
2020-08-08,Capital Metro,NA,marketing,77.33
2020-08-08,Capital Metro,NA,periodical,68.21
2020-08-15,Capital Metro,NA,first_class,83.11
2020-08-15,Capital Metro,NA,marketing,80.46
2020-08-15,Capital Metro,NA,periodical,68.56
2020-08-22,Capital Metro,NA,first_class,86.6
2020-08-22,Capital Metro,NA,marketing,86.67
2020-08-22,Capital Metro,NA,periodical,72.47
2020-08-29,Capital Metro,NA,first_class,85.46
2020-08-29,Capital Metro,NA,marketing,86.13
2020-08-29,Capital Metro,NA,periodical,68.95
2020-01-04,Eastern,NA,first_class,91.55
2020-01-04,Eastern,NA,marketing,92.72
2020-01-04,Eastern,NA,periodical,87.05
2020-01-11,Eastern,NA,first_class,92.64
2020-01-11,Eastern,NA,marketing,90.84
2020-01-11,Eastern,NA,periodical,89.31
2020-01-18,Eastern,NA,first_class,93.93
2020-01-18,Eastern,NA,marketing,92.72
2020-01-18,Eastern,NA,periodical,91.71
2020-01-25,Eastern,NA,first_class,92.21
2020-01-25,Eastern,NA,marketing,94.23
2020-01-25,Eastern,NA,periodical,87.53
2020-02-01,Eastern,NA,first_class,92.3
2020-02-01,Eastern,NA,marketing,93.8
2020-02-01,Eastern,NA,periodical,91.07
2020-02-08,Eastern,NA,first_class,93.13
2020-02-08,Eastern,NA,marketing,94.04
2020-02-08,Eastern,NA,periodical,89.85
2020-02-15,Eastern,NA,first_class,94.59
2020-02-15,Eastern,NA,marketing,94.32
2020-02-15,Eastern,NA,periodical,91.21
2020-02-22,Eastern,NA,first_class,93.18
2020-02-22,Eastern,NA,marketing,95.21
2020-02-22,Eastern,NA,periodical,90.93
2020-02-29,Eastern,NA,first_class,93.38
2020-02-29,Eastern,NA,marketing,94.95
2020-02-29,Eastern,NA,periodical,90.31
2020-03-07,Eastern,NA,first_class,92.88
2020-03-07,Eastern,NA,marketing,94.59
2020-03-07,Eastern,NA,periodical,90.24
2020-03-14,Eastern,NA,first_class,92.91
2020-03-14,Eastern,NA,marketing,94.37
2020-03-14,Eastern,NA,periodical,88.19
2020-03-21,Eastern,NA,first_class,93.69
2020-03-21,Eastern,NA,marketing,94.15
2020-03-21,Eastern,NA,periodical,88.22
2020-03-28,Eastern,NA,first_class,93.37
2020-03-28,Eastern,NA,marketing,95.1
2020-03-28,Eastern,NA,periodical,88.79
2020-04-01,Eastern,NA,first_class,93.95
2020-04-01,Eastern,NA,marketing,93.45
2020-04-01,Eastern,NA,periodical,88.85
2020-04-04,Eastern,NA,first_class,92.93
2020-04-04,Eastern,NA,marketing,93.34
2020-04-04,Eastern,NA,periodical,87.38
2020-04-11,Eastern,NA,first_class,91.43
2020-04-11,Eastern,NA,marketing,91.62
2020-04-11,Eastern,NA,periodical,80.24
2020-04-18,Eastern,NA,first_class,92.12
2020-04-18,Eastern,NA,marketing,92.55
2020-04-18,Eastern,NA,periodical,81.49
2020-04-25,Eastern,NA,first_class,91.18
2020-04-25,Eastern,NA,marketing,90.27
2020-04-25,Eastern,NA,periodical,77.48
2020-05-02,Eastern,NA,first_class,91.23
2020-05-02,Eastern,NA,marketing,90.78
2020-05-02,Eastern,NA,periodical,79.48
2020-05-09,Eastern,NA,first_class,91.38
2020-05-09,Eastern,NA,marketing,91.4
2020-05-09,Eastern,NA,periodical,72.02
2020-05-16,Eastern,NA,first_class,91.88
2020-05-16,Eastern,NA,marketing,92.85
2020-05-16,Eastern,NA,periodical,77.68
2020-05-23,Eastern,NA,first_class,93.24
2020-05-23,Eastern,NA,marketing,90.27
2020-05-23,Eastern,NA,periodical,80.4
2020-05-30,Eastern,NA,first_class,91.66
2020-05-30,Eastern,NA,marketing,92.04
2020-05-30,Eastern,NA,periodical,80.77
2020-06-06,Eastern,NA,first_class,92.14
2020-06-06,Eastern,NA,marketing,91.98
2020-06-06,Eastern,NA,periodical,81.58
2020-06-13,Eastern,NA,first_class,92.73
2020-06-13,Eastern,NA,marketing,92.57
2020-06-13,Eastern,NA,periodical,82.71
2020-06-20,Eastern,NA,first_class,92.34
2020-06-20,Eastern,NA,marketing,91.98
2020-06-20,Eastern,NA,periodical,82.02
2020-06-27,Eastern,NA,first_class,92.27
2020-06-27,Eastern,NA,marketing,93.63
2020-06-27,Eastern,NA,periodical,83.13
2020-07-01,Eastern,NA,first_class,93.02
2020-07-01,Eastern,NA,marketing,92.33
2020-07-01,Eastern,NA,periodical,80.62
2020-07-04,Eastern,NA,first_class,91.09
2020-07-04,Eastern,NA,marketing,89.09
2020-07-04,Eastern,NA,periodical,78.91
2020-07-11,Eastern,NA,first_class,85.29
2020-07-11,Eastern,NA,marketing,82.02
2020-07-11,Eastern,NA,periodical,74.92
2020-07-18,Eastern,NA,first_class,79
2020-07-18,Eastern,NA,marketing,74.45
2020-07-18,Eastern,NA,periodical,73.6
2020-07-25,Eastern,NA,first_class,78.04
2020-07-25,Eastern,NA,marketing,79.19
2020-07-25,Eastern,NA,periodical,72.43
2020-08-01,Eastern,NA,first_class,79.75
2020-08-01,Eastern,NA,marketing,81.17
2020-08-01,Eastern,NA,periodical,68.68
2020-08-08,Eastern,NA,first_class,78.98
2020-08-08,Eastern,NA,marketing,80.1
2020-08-08,Eastern,NA,periodical,71.14
2020-08-15,Eastern,NA,first_class,83.65
2020-08-15,Eastern,NA,marketing,85.46
2020-08-15,Eastern,NA,periodical,75.94
2020-08-22,Eastern,NA,first_class,88.25
2020-08-22,Eastern,NA,marketing,90.73
2020-08-22,Eastern,NA,periodical,78.16
2020-08-29,Eastern,NA,first_class,88.53
2020-08-29,Eastern,NA,marketing,90.51
2020-08-29,Eastern,NA,periodical,77.46
2020-01-04,Great Lakes,NA,first_class,91.09
2020-01-04,Great Lakes,NA,marketing,91.75
2020-01-04,Great Lakes,NA,periodical,85.58
2020-01-11,Great Lakes,NA,first_class,90.97
2020-01-11,Great Lakes,NA,marketing,89.42
2020-01-11,Great Lakes,NA,periodical,87.13
2020-01-18,Great Lakes,NA,first_class,92.29
2020-01-18,Great Lakes,NA,marketing,89.6
2020-01-18,Great Lakes,NA,periodical,86.96
2020-01-25,Great Lakes,NA,first_class,90.07
2020-01-25,Great Lakes,NA,marketing,90.56
2020-01-25,Great Lakes,NA,periodical,86.47
2020-02-01,Great Lakes,NA,first_class,88.41
2020-02-01,Great Lakes,NA,marketing,89.81
2020-02-01,Great Lakes,NA,periodical,86.19
2020-02-08,Great Lakes,NA,first_class,91.63
2020-02-08,Great Lakes,NA,marketing,90.76
2020-02-08,Great Lakes,NA,periodical,87.53
2020-02-15,Great Lakes,NA,first_class,93.02
2020-02-15,Great Lakes,NA,marketing,91.19
2020-02-15,Great Lakes,NA,periodical,87.26
2020-02-22,Great Lakes,NA,first_class,92.07
2020-02-22,Great Lakes,NA,marketing,92.5
2020-02-22,Great Lakes,NA,periodical,84.37
2020-02-29,Great Lakes,NA,first_class,92.35
2020-02-29,Great Lakes,NA,marketing,89.88
2020-02-29,Great Lakes,NA,periodical,84.11
2020-03-07,Great Lakes,NA,first_class,92.02
2020-03-07,Great Lakes,NA,marketing,91.07
