date,area,district,mail_type,pct_on_time,area_average,nat_average
2020-01-04,Capital Metro,Atlanta,first class,92.83,90.01375,91.52223880597015
2020-01-04,Capital Metro,Atlanta,marketing,84.53,86.47125,91.10417910447761
2020-01-04,Capital Metro,Atlanta,periodical,81.66,83.42,84.79970149253731
2020-01-11,Capital Metro,Atlanta,first class,91.52,89.83125,91.32611940298507
2020-01-11,Capital Metro,Atlanta,marketing,82.35,82.36749999999999,88.92641791044777
2020-01-11,Capital Metro,Atlanta,periodical,81.44,83.24000000000001,84.77776119402985
2020-01-18,Capital Metro,Atlanta,first class,93.84,91.565,92.84149253731343
2020-01-18,Capital Metro,Atlanta,marketing,79.42,85.39,89.35925373134329
2020-01-18,Capital Metro,Atlanta,periodical,87.63,86.37875,86.83358208955224
2020-01-25,Capital Metro,Atlanta,first class,91.34,90.3075,90.87194029850747
2020-01-25,Capital Metro,Atlanta,marketing,85.59,88.81125,91.74611940298507
2020-01-25,Capital Metro,Atlanta,periodical,85.13,85.99375,87.02731343283583
2020-02-01,Capital Metro,Atlanta,first class,91.16,89.87625,90.80268656716417
2020-02-01,Capital Metro,Atlanta,marketing,77.71,86.505,90.1579104477612
2020-02-01,Capital Metro,Atlanta,periodical,80.65,85.23375,87.08328358208955
2020-02-08,Capital Metro,Atlanta,first class,92.55,91.4775,91.89029850746269
2020-02-08,Capital Metro,Atlanta,marketing,86.78,89.54125,91.76835820895522
2020-02-08,Capital Metro,Atlanta,periodical,87.46,87.35249999999999,88.17701492537313
2020-02-15,Capital Metro,Atlanta,first class,94.07,93.24625,93.73283582089552
2020-02-15,Capital Metro,Atlanta,marketing,84,88.27,91.66597014925374
2020-02-15,Capital Metro,Atlanta,periodical,90.7,87.445,88.09074626865672
2020-02-22,Capital Metro,Atlanta,first class,92.05,92.09125,92.73044776119403
2020-02-22,Capital Metro,Atlanta,marketing,87.86,91.075,93.13537313432836
2020-02-22,Capital Metro,Atlanta,periodical,87.92,86.135,86.80835820895523
2020-02-29,Capital Metro,Atlanta,first class,93.18,92.37,93.05
2020-02-29,Capital Metro,Atlanta,marketing,83.15,84.805,91.48925373134328
2020-02-29,Capital Metro,Atlanta,periodical,78.75,83.69,85.74104477611941
2020-03-07,Capital Metro,Atlanta,first class,92.32,91.6925,92.29373134328358
2020-03-07,Capital Metro,Atlanta,marketing,88.33,90.3275,92.01358208955224
2020-03-07,Capital Metro,Atlanta,periodical,79.72,85.29625,86.38985074626865
2020-03-14,Capital Metro,Atlanta,first class,93.07,92.46625,91.79925373134328
2020-03-14,Capital Metro,Atlanta,marketing,89.46,88.84,91.02089552238806
2020-03-14,Capital Metro,Atlanta,periodical,80.15,85.4875,85.62552238805971
2020-03-21,Capital Metro,Atlanta,first class,93.61,92.9575,92.48880597014926
2020-03-21,Capital Metro,Atlanta,marketing,89.59,91.82000000000001,91.89955223880597
2020-03-21,Capital Metro,Atlanta,periodical,84.71,86.47749999999999,85.31238805970149
2020-03-28,Capital Metro,Atlanta,first class,93.1,93.11125,92.28328358208955
2020-03-28,Capital Metro,Atlanta,marketing,92.59,93.40625,92.68477611940298
2020-03-28,Capital Metro,Atlanta,periodical,83.72,86.71625,84.20388059701493
2020-04-01,Capital Metro,Atlanta,first class,94.4,93.57124999999999,92.44791044776119
